Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,8p,C726543
"C18, C19",0603,2,10u,C109457
"C20, C24, C25, C3, C4, C5, C6, C7",0603,8,100n,C149620
"C22, C23, C26, C27, C8, C9",0603,6,1u,C726560
D2,LED_LiteOn_LTST-C19HE1WT,1,LED_RGBA,C458749
"D3, D4",D_SOD-323,2,NSR1020MW2T1G,C116953
D5,SOT-323_SC-70,1,PESD1CAN-U,C152727
J2,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,C319148
J4,USB_snowflake,1,Conn_01x04_Socket,
R1,0603,1,10k,C98220
"R2, R3",0603,2,5.1k,C105580
"R4, R5, R6, R7",0603,4,150,C114608
TR1,Transformer_Wuerth_750315371,1,Wuerth_750316819,C5184245
U1,SOT-23-5,1,AP2127K-3.3,C156285
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
U3,SOT-23-6,1,SN6505BDBV,C74518
U4,SOT-23-5,1,AP2204K-5.0TRG1,C112031
U6,SOP-8_6.62x9.15mm_P2.54mm,1,ISO1050DUB,C16428
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,16MHz,C280836
