Designator,Mid X,Mid Y,Rotation,Layer
C1,14.6,23.95,0.0,top
C18,3.8,18.8625,0.0,top
C19,5.01,40.1,270.0,top
C2,12.3,21.7,270.0,top
C20,3.51,40.1,270.0,top
C22,6.21,42.35,0.0,top
C23,12.61,39.0,180.0,top
C24,12.61,42.0,0.0,top
C25,10.8,24.8,270.0,top
C26,12.61,40.5,180.0,top
C27,12.3,24.8,90.0,top
C3,10.8,21.7,90.0,top
C4,16.5,18.7,180.0,top
C5,6.7,10.1,90.0,top
C6,15.9,10.3,180.0,top
C7,9.3,21.7,270.0,top
C8,7.5,7.8,180.0,top
C9,4.7,13.6,270.0,top
D2,3.15,2.7,90.0,top
D3,6.71,39.95,270.0,top
D4,1.81,39.95,270.0,top
D5,15.41,40.0,270.0,top
J1,10.0,46.1375,180.0,top
J2,10.0,2.0,0.0,top
J4,17.5,0.0,0.0,bottom
R1,17.3,14.7,270.0,top
R2,3.9,5.3,90.0,top
R3,14.0,8.6,0.0,top
R4,7.8,21.7,90.0,top
R5,6.3,20.0,90.0,top
R6,2.4,5.3,270.0,top
R7,17.3,12.2,270.0,top
TR1,5.21,31.55,90.0,top
U1,3.8,10.3,0.0,top
U2,11.2,14.8,270.0,top
U3,3.6,21.6625,270.0,top
U4,9.41,40.45,270.0,top
U6,14.51,32.3,90.0,top
Y1,14.8,21.7,0.0,top
